label,text,length,clean_text
0,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",111,go jurong point crazy available bugis great world la buffet cine got amore wat
0,Ok lar... Joking wif u oni...,29,ok lar joking wif oni
1,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,155,free entry wkly comp win fa cup final tkts st may text fa receive entry question std txt rate apply
0,U dun say so early hor... U c already then say...,49,dun say early hor already say
0,"Nah I don't think he goes to usf, he lives around here though",61,nah think goes usf lives around though
1,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",147,freemsg hey darling week word back like fun still tb ok xxx std chgs send rcv
0,Even my brother is not like to speak with me. They treat me like aids patent.,77,even brother like speak treat like aids patent
0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,160,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune
1,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,157,winner valued network customer selected receivea prize reward claim call claim code kl valid hours
1,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,154,mobile months entitled update latest colour mobiles camera free call mobile update co free
0,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",109,gon na home soon want talk stuff anymore tonight cried enough today
1,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",136,six chances win cash pounds txt csh send cost day days tsandcs apply reply hl info
1,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",155,urgent week free membership prize jackpot txt word claim www dbuk net lccltd pobox ldnw rw
0,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,196,searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times
0,I HAVE A DATE ON SUNDAY WITH WILL!!,35,date sunday
1,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",149,xxxmobilemovieclub use credit click wap link next txt message click http wap xxxmobilemovieclub com qjkgighjjgcbl
0,Oh k...i'm watching here:),26,oh watching
0,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,81,eh remember spell name yes naughty make wet
0,Fine if thats the way u feel. Thats the way its gota b,56,fine way feel way gota
1,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",155,england macedonia dont miss goals team news txt ur national team eg england try wales scotland txt poboxox wq
0,Is that seriously how you spell his name?,41,seriously spell name
0,I‘m going to try for 2 months ha ha only joking,47,going try months ha ha joking
0,So ü pay first lar... Then when is da stock comin...,52,pay first lar da stock comin
0,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,88,aft finish lunch go str lor ard smth lor finish ur lunch already
0,Ffffffffff. Alright no way I can meet up with you sooner?,57,ffffffffff alright way meet sooner
0,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,144,forced eat slice really hungry tho sucks mark getting worried knows sick turn pizza lol
0,Lol your always so convincing.,30,lol always convincing
0,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,134,catch bus frying egg make tea eating mom left dinner feel love
0,"I'm back &amp; we're packing the car now, I'll let you know if there's room",75,back amp packing car let know room
